2007,2008,2009,2013,2014,2015,2017,dict_index,fileName,best_score,file_name
523.4994566345215,517.6454104614257,473.79197708129885,489.46025482177737,464.6602157592773,577.3657507324219,563.2033319091797,5,sugga_best_layouts_N50_1_20201010224127.dat,515.6609139142718,0
523.4994566345215,517.6454104614257,473.79197708129885,489.46025482177737,464.6602157592773,577.3657507324219,563.2033319091797,6,sugga_best_layouts_N50_1_20201010224127.dat,515.6609139142718,1
523.4994566345215,517.6454104614257,473.79197708129885,489.46025482177737,464.6602157592773,577.3657507324219,563.2033319091797,7,sugga_best_layouts_N50_1_20201010224127.dat,515.6609139142718,2
523.4994566345215,517.6454104614257,473.79197708129885,489.46025482177737,464.6602157592773,577.3657507324219,563.2033319091797,8,sugga_best_layouts_N50_1_20201010224127.dat,515.6609139142718,3
523.4994566345215,517.6454104614257,473.79197708129885,489.46025482177737,464.6602157592773,577.3657507324219,563.2033319091797,9,sugga_best_layouts_N50_1_20201010224127.dat,515.6609139142718,4
523.6597901916504,517.421651916504,473.9835552978516,489.10767471313477,464.55765975952147,577.5500775146485,562.8146282958984,0,sugga_best_layouts_N50_1_20201010224127.dat,515.5850053841726,5
523.6597901916504,517.421651916504,473.9835552978516,489.10767471313477,464.55765975952147,577.5500775146485,562.8146282958984,1,sugga_best_layouts_N50_1_20201010224127.dat,515.5850053841726,6
523.6597901916504,517.421651916504,473.9835552978516,489.10767471313477,464.55765975952147,577.5500775146485,562.8146282958984,2,sugga_best_layouts_N50_1_20201010224127.dat,515.5850053841726,7
523.6597901916504,517.421651916504,473.9835552978516,489.10767471313477,464.55765975952147,577.5500775146485,562.8146282958984,3,sugga_best_layouts_N50_1_20201010224127.dat,515.5850053841726,8
523.6597901916504,517.421651916504,473.9835552978516,489.10767471313477,464.55765975952147,577.5500775146485,562.8146282958984,4,sugga_best_layouts_N50_1_20201010224127.dat,515.5850053841726,9
