1963  2194  2656  115  1270  1501  2425  115  1270  1963  2194  115  346  808  1963  115  1501  346  1039  1501  2425  115  1039  1963  1963
115  346  346  577  577  577  577  808  808  808  1039  1270  1270  1270  1270  1501  1501  1732  1732  1732  1732  1963  1963  1963  2194
